country,indicator,date,year_week,value,source,url
Austria,Daily hospital occupancy,01-04-2020,2020-W14,856,Country_Website,
Austria,Daily hospital occupancy,02-04-2020,2020-W14,823,Country_Website,
Austria,Daily hospital occupancy,03-04-2020,2020-W14,829,Country_Website,
Austria,Daily hospital occupancy,04-04-2020,2020-W14,826,Country_Website,
Austria,Daily hospital occupancy,05-04-2020,2020-W14,712,Country_Website,
Austria,Daily hospital occupancy,06-04-2020,2020-W15,824,Country_Website,
Austria,Daily hospital occupancy,07-04-2020,2020-W15,857,Country_Website,
Austria,Daily hospital occupancy,08-04-2020,2020-W15,829,Country_Website,
Austria,Daily hospital occupancy,09-04-2020,2020-W15,820,Country_Website,
Austria,Daily hospital occupancy,10-04-2020,2020-W15,771,Country_Website,
Austria,Daily hospital occupancy,11-04-2020,2020-W15,790,Country_Website,
Austria,Daily hospital occupancy,12-04-2020,2020-W15,792,Country_Website,
Austria,Daily hospital occupancy,13-04-2020,2020-W16,742,Country_Website,
Austria,Daily hospital occupancy,14-04-2020,2020-W16,759,Country_Website,
Austria,Daily hospital occupancy,15-04-2020,2020-W16,769,Country_Website,
Austria,Daily hospital occupancy,16-04-2020,2020-W16,729,Country_Website,
Austria,Daily hospital occupancy,17-04-2020,2020-W16,682,Country_Website,
Austria,Daily hospital occupancy,18-04-2020,2020-W16,647,Country_Website,
Austria,Daily hospital occupancy,19-04-2020,2020-W16,613,Country_Website,
Austria,Daily hospital occupancy,20-04-2020,2020-W17,611,Country_Website,
Austria,Daily hospital occupancy,21-04-2020,2020-W17,560,Country_Website,
Austria,Daily hospital occupancy,22-04-2020,2020-W17,524,Country_Website,
Austria,Daily hospital occupancy,23-04-2020,2020-W17,508,Country_Website,
Austria,Daily hospital occupancy,24-04-2020,2020-W17,495,Country_Website,
Austria,Daily hospital occupancy,25-04-2020,2020-W17,460,Country_Website,
Austria,Daily hospital occupancy,26-04-2020,2020-W17,449,Country_Website,
Austria,Daily hospital occupancy,27-04-2020,2020-W18,439,Country_Website,
Austria,Daily hospital occupancy,28-04-2020,2020-W18,425,Country_Website,
Austria,Daily hospital occupancy,29-04-2020,2020-W18,386,Country_Website,
Austria,Daily hospital occupancy,30-04-2020,2020-W18,372,Country_Website,
Austria,Daily hospital occupancy,01-05-2020,2020-W18,348,Country_Website,
Austria,Daily hospital occupancy,02-05-2020,2020-W18,314,Country_Website,
Austria,Daily hospital occupancy,03-05-2020,2020-W18,308,Country_Website,
Austria,Daily hospital occupancy,04-05-2020,2020-W19,309,Country_Website,
Austria,Daily hospital occupancy,05-05-2020,2020-W19,314,Country_Website,
Austria,Daily hospital occupancy,06-05-2020,2020-W19,321,Country_Website,
Austria,Daily hospital occupancy,07-05-2020,2020-W19,268,Country_Website,
Austria,Daily hospital occupancy,08-05-2020,2020-W19,258,Country_Website,
Austria,Daily hospital occupancy,09-05-2020,2020-W19,230,Country_Website,
Austria,Daily hospital occupancy,10-05-2020,2020-W19,219,Country_Website,
Austria,Daily hospital occupancy,11-05-2020,2020-W20,211,Country_Website,
Austria,Daily hospital occupancy,12-05-2020,2020-W20,205,Country_Website,
Austria,Daily hospital occupancy,13-05-2020,2020-W20,188,Country_Website,
Austria,Daily hospital occupancy,14-05-2020,2020-W20,180,Country_Website,
Austria,Daily hospital occupancy,15-05-2020,2020-W20,165,Country_Website,
Austria,Daily hospital occupancy,16-05-2020,2020-W20,158,Country_Website,
Austria,Daily hospital occupancy,17-05-2020,2020-W20,149,Country_Website,
Austria,Daily hospital occupancy,18-05-2020,2020-W21,151,Country_Website,
Austria,Daily hospital occupancy,19-05-2020,2020-W21,143,Country_Website,
Austria,Daily hospital occupancy,20-05-2020,2020-W21,137,Country_Website,
Austria,Daily hospital occupancy,21-05-2020,2020-W21,156,Country_Website,
Austria,Daily hospital occupancy,22-05-2020,2020-W21,128,Country_Website,
Austria,Daily hospital occupancy,23-05-2020,2020-W21,116,Country_Website,
Austria,Daily hospital occupancy,24-05-2020,2020-W21,108,Country_Website,
Austria,Daily hospital occupancy,25-05-2020,2020-W22,108,Country_Website,
Austria,Daily hospital occupancy,26-05-2020,2020-W22,95,Country_Website,
Austria,Daily hospital occupancy,27-05-2020,2020-W22,84,Country_Website,
Austria,Daily hospital occupancy,28-05-2020,2020-W22,77,Country_Website,
Austria,Daily hospital occupancy,29-05-2020,2020-W22,78,Country_Website,
