,District,Households_Rural,Households_Rural_Livable,Households_Rural_Dilapidated,Households_Rural_Toilet_Premise,Households_Urban,Households_Urban_Livable,Households_Urban_Dilapidated,Households_Urban_Toilet_Premise
0,Kupwara,158438.0,92053,13151,77477,23226.0,11497,1115,16305
1,Badgam,160649.0,74381,6266,133821,27190.0,9191,707,24580
2,Leh(Ladakh),36920.0,19014,776,32527,17474.0,9541,193,16741
3,Kargil,40370.0,29592,1413,39079,7774.0,5349,94,7580
4,Punch,132139.0,78623,3172,18104,15269.0,4169,123,11498
5,Rajouri,196070.0,103722,5294,20000,17508.0,3257,298,14970
6,Kathua,181374.0,66565,6349,25756,33473.0,9038,1038,22461
7,Baramula,210543.0,97061,11159,156434,48932.0,16637,2447,45263
8,Bandipore,80521.0,43240,5959,56446,17555.0,5443,755,16555
9,Srinagar,4518.0,1735,285,4008,257721.0,59792,5670,252825
10,Ganderbal,63788.0,30236,6060,44333,13558.0,2983,611,12379
11,Pulwama,147520.0,63434,6786,92496,21703.0,9203,652,19772
12,Shupiyan,75616.0,25105,4462,44614,5272.0,1814,174,4998
13,Anantnag,207067.0,89661,10561,105191,70666.0,20140,2191,53353
14,Kulgam,95952.0,47017,4510,40012,25178.0,10575,1058,14730
15,Doda,122267.0,73361,1957,29345,11350.0,2690,330,10601
16,Ramban,84281.0,43405,1770,15003,5341.0,1031,129,4418
17,Kishtwar,72378.0,37637,2461,14476,5993.0,810,42,5598
18,Udhampur,148664.0,66453,2974,11002,34696.0,5899,625,26057
19,Reasi,95572.0,52470,1434,8602,12261.0,4844,135,9662
20,Jammu,254566.0,97754,12474,62624,248043.0,56058,8434,210589
21,Samba,94247.0,28746,3111,24505,19989.0,3559,220,14133
22,Chamba,186395.0,70831,4288,90961,13836.0,2574,97,12038
23,Kangra,588321.0,148846,8237,378879,39007.0,7412,625,32103
24,Kullu,167995.0,46199,2016,91054,20709.0,3190,270,18763
25,Mandi,431129.0,120717,6899,353526,31696.0,5484,222,29161
26,Hamirpur,196116.0,42362,1962,174740,15232.0,2620,92,14060
27,Una,185091.0,46829,2592,108834,20126.0,4911,967,15014
28,Bilaspur,152458.0,41012,1982,104892,11987.0,2026,96,11208
29,Solan,192787.0,47233,3663,133024,51509.0,9633,722,46256
30,Sirmaur,171102.0,52871,4791,97358,21054.0,4148,211,20233
31,Shimla,279269.0,68142,6424,167003,95896.0,17358,1247,86978
32,Kinnaur,44514.0,13043,446,30804,0.0,,,
33,Gurdaspur,420860.0,207905,37878,210851,185488.0,76236,9646,158778
34,Kapurthala,165433.0,68490,10092,128046,95770.0,30647,3927,90120
35,Jalandhar,330339.0,154269,20482,251058,377791.0,143939,18134,361924
36,Hoshiarpur,422673.0,173296,27474,240924,128592.0,44108,6302,114319
37,Shahid Bhagat Singh Nagar,183168.0,73451,9892,122357,48383.0,17418,3145,41174
38,Fatehgarh Sahib,117559.0,45966,7524,96987,57337.0,20240,2581,53840
39,Ludhiana,395032.0,178160,28048,345653,641789.0,262492,31448,621894
40,Moga,214295.0,96862,15858,183008,74144.0,25803,4968,70215
41,Firozpur,348522.0,177398,37641,232116,153868.0,63240,10925,139559
42,Muktsar,149507.0,78940,15998,108094,74650.0,30084,6794,67036
43,Faridkot,99946.0,48974,7696,80057,58917.0,23803,4773,54675
44,Bathinda,218159.0,111480,16144,183909,137563.0,44571,7429,128072
45,Mansa,145603.0,67706,10484,91585,50786.0,17319,2997,43169
46,Patiala,299279.0,143654,21249,231343,218090.0,70225,9160,211330
47,Amritsar,275477.0,152064,21488,167491,385476.0,163828,20816,360035
48,Tarn Taran,222717.0,124054,18041,144321,44457.0,19384,3157,38989
49,Rupnagar,148162.0,52746,8890,84305,60537.0,16709,3027,55513
50,Sahibzada Ajit Singh Nagar,117293.0,50671,8563,71197,174042.0,41248,6614,160815
51,Sangrur,292156.0,133516,17822,229635,156788.0,53936,7370,144245
52,Barnala,102577.0,50981,6668,82267,54222.0,22232,3200,48909
53,Chandigarh,8911.0,4180,250,7842,289456.0,76996,10131,253564
54,Uttarkashi,112148.0,30280,3365,44299,9061.0,1441,73,8291
55,Chamoli,163434.0,42984,4086,76814,22906.0,2658,207,20043
56,Rudraprayag,112705.0,22316,2142,57480,4454.0,433,14,4080
57,Tehri Garhwal,227059.0,62669,6358,113757,27177.0,2881,191,26063
58,Dehradun,228245.0,60942,8902,170271,269393.0,54957,6466,256463
59,Garhwal,279682.0,70201,5035,135087,36780.0,5297,405,34831
60,Pithoragarh,183687.0,46657,4225,88170,26256.0,2600,132,25338
61,Bageshwar,96031.0,24104,2785,51377,3880.0,354,35,3492
62,Almora,260056.0,62674,4421,134189,21082.0,3057,275,19375
63,Champawat,85202.0,34337,5113,34422,12839.0,3608,758,10259
64,Nainital,193086.0,61209,9848,134002,105577.0,20905,3168,100087
65,Udham Singh Nagar,269406.0,123658,18051,153293,145253.0,52873,5811,133633
66,Hardwar,301828.0,145783,15997,151518,186183.0,47105,4097,172406
67,Panchkula,70895.0,24956,3474,31194,93656.0,21260,4402,82043
68,Ambala,175365.0,77512,7541,89612,139891.0,39730,4617,124923
69,Yamunanagar,214464.0,101013,13726,98654,143259.0,48565,5731,131656
70,Kurukshetra,203553.0,93635,8753,140656,88268.0,26128,3090,81560
71,Kaithal,231091.0,112080,11093,133340,75696.0,27932,3104,62601
72,Karnal,292682.0,139024,14342,200780,135920.0,39825,3534,124503
73,Panipat,173502.0,82587,7288,115726,153804.0,59984,4461,145960
74,Sonipat,283858.0,142497,13342,159529,133576.0,47554,4542,123158
75,Jind,278335.0,142230,13917,142786,89665.0,30397,2511,78547
76,Fatehabad,203020.0,94202,11573,148002,55360.0,18712,2713,50323
77,Sirsa,245476.0,102364,14484,214792,93316.0,30795,3826,89491
78,Hisar,302013.0,140437,16611,188759,154113.0,49625,5086,137932
79,Bhiwani,357047.0,163885,18924,175668,99235.0,41282,4367,86136
80,Rohtak,175203.0,86376,8235,102319,131739.0,43870,3557,121332
81,Jhajjar,211816.0,95530,10379,123913,78328.0,32037,3525,71827
82,Mahendragarh,223726.0,94189,6936,87254,44216.0,16449,1239,34135
83,Rewari,199449.0,83171,6582,99326,69305.0,21485,1664,60850
84,Gurgaon,141703.0,55690,4535,92958,381988.0,104665,14898,350283
85,Mewat,187398.0,109441,16866,33357,36237.0,14930,1740,22649
86,Faridabad,87700.0,37887,3772,51393,382981.0,149746,9192,341620
87,Palwal,186069.0,95082,11723,59729,63090.0,22839,2272,52239
88,North West,67592.0,31498,3042,43327,959275.0,329991,31657,824018
89,North,4512.0,1142,41,4422,296559.0,110024,10380,266607
90,North East,5326.0,1939,150,5060,482255.0,171683,9646,458625
91,East,1086.0,73,14,1066,461132.0,111594,8762,430698
92,New Delhi,0.0,,,,52664.0,15168,1949,41026
93,Central,0.0,,,,194897.0,76595,6237,176967
94,West,1809.0,874,33,1576,699703.0,201515,19592,629033
95,South West,41179.0,14619,1359,36114,606503.0,168002,15770,553131
96,South,2918.0,1206,135,2644,728145.0,220628,21117,640768
97,Ganganagar,397697.0,167431,9943,323328,164897.0,53097,5442,154344
98,Hanumangarh,389059.0,143174,9338,320196,108694.0,35000,3370,102064
99,Bikaner,335754.0,169892,16452,99048,196179.0,53557,3336,181662
100,Churu,344897.0,135200,20005,162102,148996.0,45295,3278,130372
101,Jhunjhunun,500452.0,122111,12011,228707,150357.0,38191,2707,124045
102,Alwar,782294.0,309007,28163,115780,212967.0,61335,3408,168883
103,Bharatpur,0.0,0,0,0,129697.0,54473,3113,90140
104,Dhaulpur,214670.0,125368,14169,10305,58626.0,23334,2052,36818
105,Karauli,305047.0,190350,17083,25014,59308.0,24613,1839,37009
106,Sawai Madhopur,282057.0,155696,12411,24822,71264.0,24800,1853,51453
107,Dausa,361084.0,170071,19138,33581,59610.0,15976,835,45900
108,Jaipur,754841.0,321563,31704,166066,977838.0,264995,11735,886900
109,Sikar,527560.0,165654,14772,212080,178274.0,47956,2853,150999
110,Nagaur,675712.0,313531,42570,179064,166489.0,53277,3996,134191
111,Jodhpur,584215.0,289187,30380,80038,307442.0,79321,5227,277006
112,Jaisalmer,159117.0,89265,5092,26573,30830.0,12456,525,20502
113,Barmer,542825.0,322439,28770,52655,55980.0,16235,1400,46352
114,Jalor,419216.0,218412,35215,47372,48202.0,17594,1929,29838
115,Sirohi,238535.0,121176,16459,38643,69639.0,18664,1324,47494
116,Pali,512909.0,256968,27698,95914,139808.0,46417,3496,96608
117,Ajmer,409335.0,204259,13918,57717,274919.0,76703,3025,236981
118,Tonk,298911.0,161711,5680,20625,81755.0,29678,2044,53714
119,Bundi,239836.0,135028,8155,19907,63452.0,21320,1270,40737
120,Bhilwara,530015.0,294159,19081,55652,145865.0,43906,1897,108962
121,Rajsamand,304622.0,166324,12795,34423,61054.0,18866,611,43593
122,Dungarpur,322816.0,200469,20015,29377,31547.0,8077,663,23377
123,Banswara,390437.0,267840,35530,26941,39407.0,9261,907,32511
124,Chittaurgarh,366780.0,201363,13205,35211,88873.0,23818,1600,64433
125,Kota,203454.0,94200,5697,25025,311735.0,91339,5923,239413
126,Baran,249184.0,126337,7725,18689,69804.0,24362,1397,39998
127,Jhalawar,298624.0,178279,12841,21501,63763.0,19129,1340,42658
128,Udaipur,665449.0,399935,25288,61887,182769.0,40210,2194,157547
129,Pratapgarh,209813.0,132602,5246,13009,24269.0,5825,340,17013
130,Saharanpur,605082.0,281364,34490,259581,284156.0,105991,8809,261424
131,Muzaffarnagar,673746.0,338221,30993,369887,296104.0,118442,9476,274193
132,Bijnor,683875.0,359719,37614,344673,224648.0,95925,7189,207575
133,Moradabad,692398.0,439673,41544,330967,355518.0,164250,11377,332765
134,Rampur,396775.0,257507,24601,223782,143217.0,69461,5586,135054
135,Jyotiba Phule Nagar,335888.0,203213,19818,135363,115486.0,58552,4620,106248
136,Meerut,381520.0,190379,15643,202588,422303.0,151607,8869,392320
137,Baghpat,246055.0,128687,7874,144681,69991.0,32546,2170,60543
138,Ghaziabad,355407.0,180192,12795,212534,836316.0,285184,15054,792828
139,Gautam Buddha Nagar,170835.0,72264,4101,88322,338935.0,95241,4407,310126
140,Bulandshahr,658449.0,370707,28314,203461,221628.0,95965,6206,188384
141,Aligarh,582117.0,330061,25032,124574,275942.0,117000,7451,232896
142,Mahamaya Nagar,288150.0,158771,12103,47545,84883.0,39386,2717,61710
143,Mathura,407488.0,217192,16300,79868,177802.0,72010,4090,144376
144,Agra,496971.0,262898,21370,82498,406852.0,155418,7731,333619
