,country,indicator,date,value
0,Austria,Daily hospital occupancy,01-04-2020,856.0
1,Austria,Daily hospital occupancy,02-04-2020,823.0
2,Austria,Daily hospital occupancy,03-04-2020,829.0
3,Austria,Daily hospital occupancy,04-04-2020,826.0
4,Austria,Daily hospital occupancy,05-04-2020,712.0
5,Austria,Daily hospital occupancy,06-04-2020,824.0
6,Austria,Daily hospital occupancy,07-04-2020,857.0
7,Austria,Daily hospital occupancy,08-04-2020,829.0
8,Austria,Daily hospital occupancy,09-04-2020,820.0
9,Austria,Daily hospital occupancy,10-04-2020,771.0
10,Austria,Daily hospital occupancy,11-04-2020,790.0
11,Austria,Daily hospital occupancy,12-04-2020,792.0
12,Austria,Daily hospital occupancy,13-04-2020,742.0
13,Austria,Daily hospital occupancy,14-04-2020,759.0
14,Austria,Daily hospital occupancy,15-04-2020,769.0
15,Austria,Daily hospital occupancy,16-04-2020,729.0
16,Austria,Daily hospital occupancy,17-04-2020,682.0
17,Austria,Daily hospital occupancy,18-04-2020,647.0
18,Austria,Daily hospital occupancy,19-04-2020,613.0
19,Austria,Daily hospital occupancy,20-04-2020,611.0
20,Austria,Daily hospital occupancy,21-04-2020,560.0
21,Austria,Daily hospital occupancy,22-04-2020,524.0
22,Austria,Daily hospital occupancy,23-04-2020,508.0
23,Austria,Daily hospital occupancy,24-04-2020,495.0
24,Austria,Daily hospital occupancy,25-04-2020,460.0
25,Austria,Daily hospital occupancy,26-04-2020,449.0
26,Austria,Daily hospital occupancy,27-04-2020,439.0
27,Austria,Daily hospital occupancy,28-04-2020,425.0
28,Austria,Daily hospital occupancy,29-04-2020,386.0
29,Austria,Daily hospital occupancy,30-04-2020,372.0
30,Austria,Daily hospital occupancy,01-05-2020,348.0
31,Austria,Daily hospital occupancy,02-05-2020,314.0
32,Austria,Daily hospital occupancy,03-05-2020,308.0
33,Austria,Daily hospital occupancy,04-05-2020,309.0
34,Austria,Daily hospital occupancy,05-05-2020,314.0
35,Austria,Daily hospital occupancy,06-05-2020,321.0
36,Austria,Daily hospital occupancy,07-05-2020,268.0
37,Austria,Daily hospital occupancy,08-05-2020,258.0
38,Austria,Daily hospital occupancy,09-05-2020,230.0
39,Austria,Daily hospital occupancy,10-05-2020,219.0
40,Austria,Daily hospital occupancy,11-05-2020,211.0
41,Austria,Daily hospital occupancy,12-05-2020,205.0
42,Austria,Daily hospital occupancy,13-05-2020,188.0
43,Austria,Daily hospital occupancy,14-05-2020,180.0
44,Austria,Daily hospital occupancy,15-05-2020,165.0
45,Austria,Daily hospital occupancy,16-05-2020,158.0
46,Austria,Daily hospital occupancy,17-05-2020,149.0
47,Austria,Daily hospital occupancy,18-05-2020,151.0
48,Austria,Daily hospital occupancy,19-05-2020,143.0
49,Austria,Daily hospital occupancy,20-05-2020,137.0
50,Austria,Daily hospital occupancy,21-05-2020,156.0
51,Austria,Daily hospital occupancy,22-05-2020,128.0
52,Austria,Daily hospital occupancy,23-05-2020,116.0
53,Austria,Daily hospital occupancy,24-05-2020,108.0
54,Austria,Daily hospital occupancy,25-05-2020,108.0
55,Austria,Daily hospital occupancy,26-05-2020,95.0
56,Austria,Daily hospital occupancy,27-05-2020,84.0
57,Austria,Daily hospital occupancy,28-05-2020,77.0
58,Austria,Daily hospital occupancy,29-05-2020,78.0
59,Austria,Daily hospital occupancy,30-05-2020,75.0
60,Austria,Daily hospital occupancy,31-05-2020,70.0
61,Austria,Daily hospital occupancy,01-06-2020,68.0
62,Austria,Daily hospital occupancy,02-06-2020,62.0
63,Austria,Daily hospital occupancy,03-06-2020,66.0
