,District name,Households,Rural_Households,Urban_Households
0,Kupwara,181664.0,158438.0,23226.0
1,Badgam,187839.0,160649.0,27190.0
2,Leh(Ladakh),54394.0,36920.0,17474.0
3,Kargil,48144.0,40370.0,7774.0
4,Punch,147408.0,132139.0,15269.0
5,Rajouri,213578.0,196070.0,17508.0
6,Kathua,214847.0,181374.0,33473.0
7,Baramula,259475.0,210543.0,48932.0
8,Bandipore,98076.0,80521.0,17555.0
9,Srinagar,262239.0,4518.0,257721.0
10,Ganderbal,77346.0,63788.0,13558.0
11,Pulwama,169223.0,147520.0,21703.0
12,Shupiyan,80888.0,75616.0,5272.0
13,Anantnag,277733.0,207067.0,70666.0
14,Kulgam,121130.0,95952.0,25178.0
15,Doda,133617.0,122267.0,11350.0
16,Ramban,89622.0,84281.0,5341.0
17,Kishtwar,78371.0,72378.0,5993.0
18,Udhampur,183360.0,148664.0,34696.0
19,Reasi,107833.0,95572.0,12261.0
20,Jammu,502609.0,254566.0,248043.0
21,Samba,114236.0,94247.0,19989.0
22,Chamba,200231.0,186395.0,13836.0
23,Kangra,627328.0,588321.0,39007.0
24,Lahul AND Spiti,17434.0,17434.0,0.0
25,Kullu,188704.0,167995.0,20709.0
26,Mandi,462825.0,431129.0,31696.0
27,Hamirpur,211348.0,196116.0,15232.0
28,Una,205217.0,185091.0,20126.0
29,Bilaspur,164445.0,152458.0,11987.0
30,Solan,244296.0,192787.0,51509.0
31,Sirmaur,192156.0,171102.0,21054.0
32,Shimla,375165.0,279269.0,95896.0
33,Kinnaur,44514.0,44514.0,0.0
34,Gurdaspur,606348.0,420860.0,185488.0
35,Kapurthala,261203.0,165433.0,95770.0
36,Jalandhar,708130.0,330339.0,377791.0
37,Hoshiarpur,551265.0,422673.0,128592.0
38,Shahid Bhagat Singh Nagar,231551.0,183168.0,48383.0
39,Fatehgarh Sahib,174896.0,117559.0,57337.0
40,Ludhiana,1036821.0,395032.0,641789.0
41,Moga,288439.0,214295.0,74144.0
42,Firozpur,502390.0,348522.0,153868.0
43,Muktsar,224157.0,149507.0,74650.0
44,Faridkot,158863.0,99946.0,58917.0
45,Bathinda,355722.0,218159.0,137563.0
46,Mansa,196389.0,145603.0,50786.0
47,Patiala,517369.0,299279.0,218090.0
48,Amritsar,660953.0,275477.0,385476.0
49,Tarn Taran,267174.0,222717.0,44457.0
50,Rupnagar,208699.0,148162.0,60537.0
51,Sahibzada Ajit Singh Nagar,291335.0,117293.0,174042.0
52,Sangrur,448944.0,292156.0,156788.0
53,Barnala,156799.0,102577.0,54222.0
54,Chandigarh,298367.0,8911.0,289456.0
55,Uttarkashi,121209.0,112148.0,9061.0
56,Chamoli,186340.0,163434.0,22906.0
57,Rudraprayag,117159.0,112705.0,4454.0
58,Tehri Garhwal,254236.0,227059.0,27177.0
59,Dehradun,497638.0,228245.0,269393.0
60,Garhwal,316462.0,279682.0,36780.0
61,Pithoragarh,209943.0,183687.0,26256.0
62,Bageshwar,99911.0,96031.0,3880.0
63,Almora,281138.0,260056.0,21082.0
64,Champawat,98041.0,85202.0,12839.0
65,Nainital,298663.0,193086.0,105577.0
66,Udham Singh Nagar,414659.0,269406.0,145253.0
67,Hardwar,488011.0,301828.0,186183.0
68,Panchkula,164551.0,70895.0,93656.0
69,Ambala,315256.0,175365.0,139891.0
70,Yamunanagar,357723.0,214464.0,143259.0
71,Kurukshetra,291821.0,203553.0,88268.0
72,Kaithal,306787.0,231091.0,75696.0
