,District,Total_Households,Households_Rural,Households_Urban,Households_Rural_Livable,Households_Urban_Livable,Households_Rural_Dilapidated,Households_Urban_Dilapidated,Households_Rural_Toilet_Premise,Households_Urban_Toilet_Premise,Households_Total_Livable,Households_Total_Dilapidated,Households_Total_Toilet_Premise
0,Kupwara,181664.0,158438.0,23226.0,92053,11497,13151,1115,77477,16305,104094,14352,92467
1,Badgam,187839.0,160649.0,27190.0,74381,9191,6266,707,133821,24580,83965,7138,158349
2,Leh(Ladakh),54394.0,36920.0,17474.0,19014,9541,776,193,32527,16741,28503,980,49173
3,Kargil,48144.0,40370.0,7774.0,29592,5349,1413,94,39079,7580,34953,1541,46652
4,Punch,147408.0,132139.0,15269.0,78623,4169,3172,123,18104,11498,83876,3391,27566
5,Rajouri,213578.0,196070.0,17508.0,103722,3257,5294,298,20000,14970,108925,5554,30542
6,Kathua,214847.0,181374.0,33473.0,66565,9038,6349,1038,25756,22461,75841,7305,47482
7,Baramula,259475.0,210543.0,48932.0,97061,16637,11159,2447,156434,45263,114169,13493,201353
8,Bandipore,98076.0,80521.0,17555.0,43240,5443,5959,755,56446,16555,49038,6768,72577
9,Srinagar,262239.0,4518.0,257721.0,1735,59792,285,5670,4008,252825,61627,5770,256732
10,Ganderbal,77346.0,63788.0,13558.0,30236,2983,6060,611,44333,12379,33646,6807,56308
11,Pulwama,169223.0,147520.0,21703.0,63434,9203,6786,652,92496,19772,72597,7446,112195
12,Shupiyan,80888.0,75616.0,5272.0,25105,1814,4462,174,44614,4998,26936,4611,49423
13,Anantnag,277733.0,207067.0,70666.0,89661,20140,10561,2191,105191,53353,110538,13054,157197
14,Kulgam,121130.0,95952.0,25178.0,47017,10575,4510,1058,40012,14730,57780,5572,54388
15,Doda,133617.0,122267.0,11350.0,73361,2690,1957,330,29345,10601,76429,2272,39150
16,Ramban,89622.0,84281.0,5341.0,43405,1031,1770,129,15003,4418,45080,1883,18015
17,Kishtwar,78371.0,72378.0,5993.0,37637,810,2461,42,14476,5598,39029,2587,18966
18,Udhampur,183360.0,148664.0,34696.0,66453,5899,2974,625,11002,26057,73161,3668,35389
19,Reasi,107833.0,95572.0,12261.0,52470,4844,1434,135,8602,9662,57691,1510,16391
20,Jammu,502609.0,254566.0,248043.0,97754,56058,12474,8434,62624,210589,154804,21110,270404
21,Samba,114236.0,94247.0,19989.0,28746,3559,3111,220,24505,14133,32558,3428,37584
22,Chamba,200231.0,186395.0,13836.0,70831,2574,4288,97,90961,12038,73285,4406,103119
23,Kangra,627328.0,588321.0,39007.0,148846,7412,8237,625,378879,32103,156832,8783,410900
24,Kullu,188704.0,167995.0,20709.0,46199,3190,2016,270,91054,18763,49252,2265,110204
25,Mandi,462825.0,431129.0,31696.0,120717,5484,6899,222,353526,29161,125889,7406,382757
26,Hamirpur,211348.0,196116.0,15232.0,42362,2620,1962,92,174740,14060,45018,2114,188734
27,Una,205217.0,185091.0,20126.0,46829,4911,2592,967,108834,15014,51715,3489,123746
28,Bilaspur,164445.0,152458.0,11987.0,41012,2026,1982,96,104892,11208,43085,2138,116099
29,Solan,244296.0,192787.0,51509.0,47233,9633,3663,722,133024,46256,56921,4398,179314
30,Sirmaur,192156.0,171102.0,21054.0,52871,4148,4791,211,97358,20233,56494,4997,119329
31,Shimla,375165.0,279269.0,95896.0,68142,17358,6424,1247,167003,86978,85163,7504,256238
32,Kinnaur,44514.0,44514.0,0.0,13043,,446,,30804,,13043,446,30804
33,Gurdaspur,606348.0,420860.0,185488.0,207905,76236,37878,9646,210851,158778,285590,47902,363809
34,Kapurthala,261203.0,165433.0,95770.0,68490,30647,10092,3927,128046,90120,99519,14105,217583
35,Jalandhar,708130.0,330339.0,377791.0,154269,143939,20482,18134,251058,361924,298123,38948,612533
36,Hoshiarpur,551265.0,422673.0,128592.0,173296,44108,27474,6302,240924,114319,218301,33628,352259
37,Shahid Bhagat Singh Nagar,231551.0,183168.0,48383.0,73451,17418,9892,3145,122357,41174,90768,12967,163244
38,Fatehgarh Sahib,174896.0,117559.0,57337.0,45966,20240,7524,2581,96987,53840,66111,10144,150936
39,Ludhiana,1036821.0,395032.0,641789.0,178160,262492,28048,31448,345653,621894,440649,60136,967354
40,Moga,288439.0,214295.0,74144.0,96862,25803,15858,4968,183008,70215,123164,21057,252673
41,Firozpur,502390.0,348522.0,153868.0,177398,63240,37641,10925,232116,139559,242152,48732,367750
42,Muktsar,224157.0,149507.0,74650.0,78940,30084,15998,6794,108094,67036,110286,22865,173274
43,Faridkot,158863.0,99946.0,58917.0,48974,23803,7696,4773,80057,54675,72919,12551,134399
44,Bathinda,355722.0,218159.0,137563.0,111480,44571,16144,7429,183909,128072,157941,23834,310902
45,Mansa,196389.0,145603.0,50786.0,67706,17319,10484,2997,91585,43169,86019,13748,132956
46,Patiala,517369.0,299279.0,218090.0,143654,70225,21249,9160,231343,211330,214191,30525,442868
47,Amritsar,660953.0,275477.0,385476.0,152064,163828,21488,20816,167491,360035,317919,42962,522153
48,Tarn Taran,267174.0,222717.0,44457.0,124054,19384,18041,3157,144321,38989,144542,21107,181144
49,Rupnagar,208699.0,148162.0,60537.0,52746,16709,8890,3027,84305,55513,69706,12105,138785
50,Sahibzada Ajit Singh Nagar,291335.0,117293.0,174042.0,50671,41248,8563,6614,71197,160815,92936,15150,230446
51,Sangrur,448944.0,292156.0,156788.0,133516,53936,17822,7370,229635,144245,189455,25590,371726
52,Barnala,156799.0,102577.0,54222.0,50981,22232,6668,3200,82267,48909,73382,9879,130928
53,Chandigarh,298367.0,8911.0,289456.0,4180,76996,250,10131,7842,253564,81156,10443,261370
54,Uttarkashi,121209.0,112148.0,9061.0,30280,1441,3365,73,44299,8291,31636,3516,52969
55,Chamoli,186340.0,163434.0,22906.0,42984,2658,4086,207,76814,20043,44908,4286,98947
56,Rudraprayag,117159.0,112705.0,4454.0,22316,433,2142,14,57480,4080,22729,2109,61978
57,Tehri Garhwal,254236.0,227059.0,27177.0,62669,2881,6358,191,113757,26063,64831,6356,141864
58,Dehradun,497638.0,228245.0,269393.0,60942,54957,8902,6466,170271,256463,114955,14930,429960
59,Garhwal,316462.0,279682.0,36780.0,70201,5297,5035,405,135087,34831,74053,5380,175004
60,Pithoragarh,209943.0,183687.0,26256.0,46657,2600,4225,132,88170,25338,48497,4409,115889
61,Bageshwar,99911.0,96031.0,3880.0,24104,354,2785,35,51377,3492,24579,2898,54752
62,Almora,281138.0,260056.0,21082.0,62674,3057,4421,275,134189,19375,65225,4780,155470
63,Champawat,98041.0,85202.0,12839.0,34337,3608,5113,758,34422,10259,37746,5883,45492
64,Nainital,298663.0,193086.0,105577.0,61209,20905,9848,3168,134002,100087,80640,12843,237438
65,Udham Singh Nagar,414659.0,269406.0,145253.0,123658,52873,18051,5811,153293,133633,176645,24051,287359
66,Hardwar,488011.0,301828.0,186183.0,145783,47105,15997,4097,151518,172406,192277,20009,325016
67,Panchkula,164551.0,70895.0,93656.0,24956,21260,3474,4402,31194,82043,45252,7899,116338
68,Ambala,315256.0,175365.0,139891.0,77512,39730,7541,4617,89612,124923,116645,12295,216581
69,Yamunanagar,357723.0,214464.0,143259.0,101013,48565,13726,5731,98654,131656,148813,19318,233236
70,Kurukshetra,291821.0,203553.0,88268.0,93635,26128,8753,3090,140656,81560,119939,11673,221784
71,Kaithal,306787.0,231091.0,75696.0,112080,27932,11093,3104,133340,62601,140509,14113,194503
72,Karnal,428602.0,292682.0,135920.0,139024,39825,14342,3534,200780,124503,178728,18002,325309
73,Panipat,327306.0,173502.0,153804.0,82587,59984,7288,4461,115726,145960,142379,11456,262500
74,Sonipat,417434.0,283858.0,133576.0,142497,47554,13342,4542,159529,123158,189516,17950,284273
75,Jind,368000.0,278335.0,89665.0,142230,30397,13917,2511,142786,78547,172960,16193,220432
76,Fatehabad,258380.0,203020.0,55360.0,94202,18712,11573,2713,148002,50323,113429,14211,197403
77,Sirsa,338792.0,245476.0,93316.0,102364,30795,14484,3826,214792,89491,133823,18295,303897
78,Hisar,456126.0,302013.0,154113.0,140437,49625,16611,5086,188759,137932,191117,21895,324306
79,Bhiwani,456282.0,357047.0,99235.0,163885,41282,18924,4367,175668,86136,205327,23271,259625
80,Rohtak,306942.0,175203.0,131739.0,86376,43870,8235,3557,102319,121332,130144,11971,223761
81,Jhajjar,290144.0,211816.0,78328.0,95530,32037,10379,3525,123913,71827,127664,13927,195558
82,Mahendragarh,267942.0,223726.0,44216.0,94189,16449,6936,1239,87254,34135,110928,8039,118699
83,Rewari,268754.0,199449.0,69305.0,83171,21485,6582,1664,99326,60850,104815,8332,159640
84,Gurgaon,523691.0,141703.0,381988.0,55690,104665,4535,14898,92958,350283,160774,19377,443043
85,Mewat,223635.0,187398.0,36237.0,109441,14930,16866,1740,33357,22649,125907,19009,52331
86,Faridabad,470681.0,87700.0,382981.0,37887,149746,3772,9192,51393,341620,187332,13180,395373
87,Palwal,249159.0,186069.0,63090.0,95082,22839,11723,2272,59729,52239,118351,13953,110627
88,North West,1026867.0,67592.0,959275.0,31498,329991,3042,31657,43327,824018,359404,34914,869757
89,North,301071.0,4512.0,296559.0,1142,110024,41,10380,4422,266607,111096,10237,270964
90,North East,487581.0,5326.0,482255.0,1939,171683,150,9646,5060,458625,173579,9752,463690
91,East,462218.0,1086.0,461132.0,73,111594,14,8762,1066,430698,111395,8783,431712
92,New Delhi,52664.0,0.0,52664.0,,15168,,1949,,41026,15168,1949,41026
93,Central,194897.0,0.0,194897.0,,76595,,6237,,176967,76595,6237,176967
94,West,701512.0,1809.0,699703.0,874,201515,33,19592,1576,629033,202737,19643,630660
95,South West,647682.0,41179.0,606503.0,14619,168002,1359,15770,36114,553131,181999,16840,589391
96,South,731063.0,2918.0,728145.0,1206,220628,135,21117,2644,640768,222244,21201,643336
97,Ganganagar,562594.0,397697.0,164897.0,167431,53097,9943,5442,323328,154344,221100,15191,476518
98,Hanumangarh,497753.0,389059.0,108694.0,143174,35000,9338,3370,320196,102064,178694,12444,421100
99,Bikaner,531933.0,335754.0,196179.0,169892,53557,16452,3336,99048,181662,225008,20214,276074
100,Churu,493893.0,344897.0,148996.0,135200,45295,20005,3278,162102,130372,181753,24201,285471
101,Jhunjhunun,650809.0,500452.0,150357.0,122111,38191,12011,2707,228707,124045,160100,14969,348834
102,Alwar,995261.0,782294.0,212967.0,309007,61335,28163,3408,115780,168883,372228,31849,273697
103,Bharatpur,129697.0,0.0,129697.0,0,54473,0,3113,0,90140,67443,5448,26329
104,Dhaulpur,273296.0,214670.0,58626.0,125368,23334,14169,2052,10305,36818,149220,16125,44821
105,Karauli,364355.0,305047.0,59308.0,190350,24613,17083,1839,25014,37009,216427,19311,57933
106,Sawai Madhopur,353321.0,282057.0,71264.0,155696,24800,12411,1853,24822,51453,181607,14487,73138
107,Dausa,420694.0,361084.0,59610.0,170071,15976,19138,835,33581,45900,188051,20615,73201
108,Jaipur,1732679.0,754841.0,977838.0,321563,264995,31704,11735,166066,886900,587379,43317,1050004
