District,Households_Rural,Households_Rural_Livable,Households_Rural_Dilapidated,Households_Rural_Toilet_Premise,Households_Urban,Households_Urban_Livable,Households_Urban_Dilapidated,Households_Urban_Toilet_Premise,State_UT
Kupwara,158438,92053,13151,77477,23226,11497,1115,16305,Jammu and Kashmir
Badgam,160649,74381,6266,133821,27190,9191,707,24580,Jammu and Kashmir
Leh(Ladakh),36920,19014,776,32527,17474,9541,193,16741,Ladakh
Kargil,40370,29592,1413,39079,7774,5349,94,7580,Ladakh
Punch,132139,78623,3172,18104,15269,4169,123,11498,Jammu and Kashmir
Rajouri,196070,103722,5294,20000,17508,3257,298,14970,Jammu and Kashmir
Kathua,181374,66565,6349,25756,33473,9038,1038,22461,Jammu and Kashmir
Baramula,210543,97061,11159,156434,48932,16637,2447,45263,Jammu and Kashmir
Bandipore,80521,43240,5959,56446,17555,5443,755,16555,Jammu and Kashmir
Srinagar,4518,1735,285,4008,257721,59792,5670,252825,Jammu and Kashmir
Ganderbal,63788,30236,6060,44333,13558,2983,611,12379,Jammu and Kashmir
Pulwama,147520,63434,6786,92496,21703,9203,652,19772,Jammu and Kashmir
Shupiyan,75616,25105,4462,44614,5272,1814,174,4998,Jammu and Kashmir
Anantnag,207067,89661,10561,105191,70666,20140,2191,53353,Jammu and Kashmir
Kulgam,95952,47017,4510,40012,25178,10575,1058,14730,Jammu and Kashmir
Doda,122267,73361,1957,29345,11350,2690,330,10601,Jammu and Kashmir
Ramban,84281,43405,1770,15003,5341,1031,129,4418,Jammu and Kashmir
Kishtwar,72378,37637,2461,14476,5993,810,42,5598,Jammu and Kashmir
Udhampur,148664,66453,2974,11002,34696,5899,625,26057,Jammu and Kashmir
Reasi,95572,52470,1434,8602,12261,4844,135,9662,Jammu and Kashmir
Jammu,254566,97754,12474,62624,248043,56058,8434,210589,Jammu and Kashmir
Samba,94247,28746,3111,24505,19989,3559,220,14133,Jammu and Kashmir
Chamba,186395,70831,4288,90961,13836,2574,97,12038,Himachal Pradesh
Kangra,588321,148846,8237,378879,39007,7412,625,32103,Himachal Pradesh
Lahul and Spiti,17434,5876,140,13616,0,0,0,0,Himachal Pradesh
Kullu,167995,46199,2016,91054,20709,3190,270,18763,Himachal Pradesh
Mandi,431129,120717,6899,353526,31696,5484,222,29161,Himachal Pradesh
Hamirpur,196116,42362,1962,174740,15232,2620,92,14060,Himachal Pradesh
Una,185091,46829,2592,108834,20126,4911,967,15014,Himachal Pradesh
Bilaspur,152458,41012,1982,104892,11987,2026,96,11208,Himachal Pradesh
Solan,192787,47233,3663,133024,51509,9633,722,46256,Himachal Pradesh
Sirmaur,171102,52871,4791,97358,21054,4148,211,20233,Himachal Pradesh
Shimla,279269,68142,6424,167003,95896,17358,1247,86978,Himachal Pradesh
Kinnaur,44514,13043,446,30804,0,0,0,0,Himachal Pradesh
Gurdaspur,420860,207905,37878,210851,185488,76236,9646,158778,Punjab
Kapurthala,165433,68490,10092,128046,95770,30647,3927,90120,Punjab
Jalandhar,330339,154269,20482,251058,377791,143939,18134,361924,Punjab
Hoshiarpur,422673,173296,27474,240924,128592,44108,6302,114319,Punjab
Shahid Bhagat Singh Nagar,183168,73451,9892,122357,48383,17418,3145,41174,Punjab
Fatehgarh Sahib,117559,45966,7524,96987,57337,20240,2581,53840,Punjab
Ludhiana,395032,178160,28048,345653,641789,262492,31448,621894,Punjab
Moga,214295,96862,15858,183008,74144,25803,4968,70215,Punjab
Firozpur,348522,177398,37641,232116,153868,63240,10925,139559,Punjab
Muktsar,149507,78940,15998,108094,74650,30084,6794,67036,Punjab
Faridkot,99946,48974,7696,80057,58917,23803,4773,54675,Punjab
Bathinda,218159,111480,16144,183909,137563,44571,7429,128072,Punjab
Mansa,145603,67706,10484,91585,50786,17319,2997,43169,Punjab
Patiala,299279,143654,21249,231343,218090,70225,9160,211330,Punjab
Amritsar,275477,152064,21488,167491,385476,163828,20816,360035,Punjab
Tarn Taran,222717,124054,18041,144321,44457,19384,3157,38989,Punjab
Rupnagar,148162,52746,8890,84305,60537,16709,3027,55513,Punjab
Sahibzada Ajit Singh Nagar,117293,50671,8563,71197,174042,41248,6614,160815,Punjab
Sangrur,292156,133516,17822,229635,156788,53936,7370,144245,Punjab
Barnala,102577,50981,6668,82267,54222,22232,3200,48909,Punjab
Chandigarh,8911,4180,250,7842,289456,76996,10131,253564,Chandigarh
Uttarkashi,112148,30280,3365,44299,9061,1441,73,8291,Uttarakhand
Chamoli,163434,42984,4086,76814,22906,2658,207,20043,Uttarakhand
Rudraprayag,112705,22316,2142,57480,4454,433,14,4080,Uttarakhand
Tehri Garhwal,227059,62669,6358,113757,27177,2881,191,26063,Uttarakhand
Dehradun,228245,60942,8902,170271,269393,54957,6466,256463,Uttarakhand
Garhwal,279682,70201,5035,135087,36780,5297,405,34831,Uttarakhand
Pithoragarh,183687,46657,4225,88170,26256,2600,132,25338,Uttarakhand
Bageshwar,96031,24104,2785,51377,3880,354,35,3492,Uttarakhand
Almora,260056,62674,4421,134189,21082,3057,275,19375,Uttarakhand
Champawat,85202,34337,5113,34422,12839,3608,758,10259,Uttarakhand
Nainital,193086,61209,9848,134002,105577,20905,3168,100087,Uttarakhand
Udham Singh Nagar,269406,123658,18051,153293,145253,52873,5811,133633,Uttarakhand
Hardwar,301828,145783,15997,151518,186183,47105,4097,172406,Uttarakhand
Panchkula,70895,24956,3474,31194,93656,21260,4402,82043,Haryana
Ambala,175365,77512,7541,89612,139891,39730,4617,124923,Haryana
Yamunanagar,214464,101013,13726,98654,143259,48565,5731,131656,Haryana
Kurukshetra,203553,93635,8753,140656,88268,26128,3090,81560,Haryana
Kaithal,231091,112080,11093,133340,75696,27932,3104,62601,Haryana
Karnal,292682,139024,14342,200780,135920,39825,3534,124503,Haryana
Panipat,173502,82587,7288,115726,153804,59984,4461,145960,Haryana
Sonipat,283858,142497,13342,159529,133576,47554,4542,123158,Haryana
Jind,278335,142230,13917,142786,89665,30397,2511,78547,Haryana
Fatehabad,203020,94202,11573,148002,55360,18712,2713,50323,Haryana
Sirsa,245476,102364,14484,214792,93316,30795,3826,89491,Haryana
Hisar,302013,140437,16611,188759,154113,49625,5086,137932,Haryana
Bhiwani,357047,163885,18924,175668,99235,41282,4367,86136,Haryana
Rohtak,175203,86376,8235,102319,131739,43870,3557,121332,Haryana
Jhajjar,211816,95530,10379,123913,78328,32037,3525,71827,Haryana
Mahendragarh,223726,94189,6936,87254,44216,16449,1239,34135,Haryana
Rewari,199449,83171,6582,99326,69305,21485,1664,60850,Haryana
Gurgaon,141703,55690,4535,92958,381988,104665,14898,350283,Haryana
Mewat,187398,109441,16866,33357,36237,14930,1740,22649,Haryana
Faridabad,87700,37887,3772,51393,382981,149746,9192,341620,Haryana
Palwal,186069,95082,11723,59729,63090,22839,2272,52239,Haryana
North West,67592,31498,3042,43327,959275,329991,31657,824018,Nct Of Delhi
North,4512,1142,41,4422,296559,110024,10380,266607,Nct Of Delhi
North East,5326,1939,150,5060,482255,171683,9646,458625,Nct Of Delhi
East,1086,73,14,1066,461132,111594,8762,430698,Nct Of Delhi
New Delhi,0,0,0,0,52664,15168,1949,41026,Nct Of Delhi
Central,0,0,0,0,194897,76595,6237,176967,Nct Of Delhi
West,1809,874,33,1576,699703,201515,19592,629033,Nct Of Delhi
South West,41179,14619,1359,36114,606503,168002,15770,553131,Nct Of Delhi
South,2918,1206,135,2644,728145,220628,21117,640768,Nct Of Delhi
Ganganagar,397697,167431,9943,323328,164897,53097,5442,154344,Rajasthan
Hanumangarh,389059,143174,9338,320196,108694,35000,3370,102064,Rajasthan
Bikaner,335754,169892,16452,99048,196179,53557,3336,181662,Rajasthan
