,District Name,Rural/Urban,Total Number of households,Total Number of Livable,Total Number of Dilapidated,Latrine_premise
0,Kupwara,Rural,100,58.1,8.3,48.9
1,Kupwara,Total,100,57.3,7.9,50.9
2,Kupwara,Urban,100,49.5,4.8,70.2
3,Badgam,Rural,100,46.3,3.9,83.3
4,Badgam,Total,100,44.7,3.8,84.3
5,Badgam,Urban,100,33.8,2.6,90.4
6,Leh(Ladakh),Rural,100,51.5,2.1,88.1
7,Leh(Ladakh),Total,100,52.4,1.8,90.4
8,Leh(Ladakh),Urban,100,54.6,1.1,95.8
9,Kargil,Rural,100,73.3,3.5,96.8
10,Kargil,Total,100,72.6,3.2,96.9
11,Kargil,Urban,100,68.8,1.2,97.5
12,Punch,Rural,100,59.5,2.4,13.7
13,Punch,Total,100,56.9,2.3,18.7
14,Punch,Urban,100,27.3,0.8,75.3
15,Rajouri,Rural,100,52.9,2.7,10.2
16,Rajouri,Total,100,51.0,2.6,14.3
17,Rajouri,Urban,100,18.6,1.7,85.5
18,Kathua,Rural,100,36.7,3.5,14.2
19,Kathua,Total,100,35.3,3.4,22.1
20,Kathua,Urban,100,27.0,3.1,67.1
21,Baramula,Rural,100,46.1,5.3,74.3
22,Baramula,Total,100,44.0,5.2,77.6
23,Baramula,Urban,100,34.0,5.0,92.5
24,Bandipore,Rural,100,53.7,7.4,70.1
25,Bandipore,Total,100,50.0,6.9,74.0
26,Bandipore,Urban,100,31.0,4.3,94.3
27,Srinagar,Rural,100,38.4,6.3,88.7
28,Srinagar,Total,100,23.5,2.2,97.9
29,Srinagar,Urban,100,23.2,2.2,98.1
30,Ganderbal,Rural,100,47.4,9.5,69.5
31,Ganderbal,Total,100,43.5,8.8,72.8
32,Ganderbal,Urban,100,22.0,4.5,91.3
33,Pulwama,Rural,100,43.0,4.6,62.7
34,Pulwama,Total,100,42.9,4.4,66.3
35,Pulwama,Urban,100,42.4,3.0,91.1
36,Shupiyan,Rural,100,33.2,5.9,59.0
37,Shupiyan,Total,100,33.3,5.7,61.1
38,Shupiyan,Urban,100,34.4,3.3,94.8
39,Anantnag,Rural,100,43.3,5.1,50.8
40,Anantnag,Total,100,39.8,4.7,56.6
41,Anantnag,Urban,100,28.5,3.1,75.5
42,Kulgam,Rural,100,49.0,4.7,41.7
43,Kulgam,Total,100,47.7,4.6,44.9
44,Kulgam,Urban,100,42.0,4.2,58.5
45,Doda,Rural,100,60.0,1.6,24.0
46,Doda,Total,100,57.2,1.7,29.3
47,Doda,Urban,100,23.7,2.9,93.4
48,Ramban,Rural,100,51.5,2.1,17.8
49,Ramban,Total,100,50.3,2.1,20.1
50,Ramban,Urban,100,19.3,2.4,82.7
51,Kishtwar,Rural,100,52.0,3.4,20.0
52,Kishtwar,Total,100,49.8,3.3,24.2
53,Kishtwar,Urban,100,13.5,0.7,93.4
54,Udhampur,Rural,100,44.7,2.0,7.4
55,Udhampur,Total,100,39.9,2.0,19.3
56,Udhampur,Urban,100,17.0,1.8,75.1
57,Reasi,Rural,100,54.9,1.5,9.0
58,Reasi,Total,100,53.5,1.4,15.2
59,Reasi,Urban,100,39.5,1.1,78.8
60,Jammu,Rural,100,38.4,4.9,24.6
61,Jammu,Total,100,30.8,4.2,53.8
62,Jammu,Urban,100,22.6,3.4,84.9
63,Samba,Rural,100,30.5,3.3,26.0
64,Samba,Total,100,28.5,3.0,32.9
65,Samba,Urban,100,17.8,1.1,70.7
66,Chamba,Rural,100,38.0,2.3,48.8
67,Chamba,Total,100,36.6,2.2,51.5
68,Chamba,Urban,100,18.6,0.7,87.0
69,Kangra,Rural,100,25.3,1.4,64.4
70,Kangra,Total,100,25.0,1.4,65.5
71,Kangra,Urban,100,19.0,1.6,82.3
72,Lahul & Spiti,Rural,100,33.7,0.8,78.1
73,Lahul & Spiti,Total,100,33.7,0.8,78.1
74,Kullu,Rural,100,27.5,1.2,54.2
75,Kullu,Total,100,26.1,1.2,58.4
76,Kullu,Urban,100,15.4,1.3,90.6
77,Mandi,Rural,100,28.0,1.6,82.0
78,Mandi,Total,100,27.2,1.6,82.7
79,Mandi,Urban,100,17.3,0.7,92.0
80,Hamirpur,Rural,100,21.6,1.0,89.1
81,Hamirpur,Total,100,21.3,1.0,89.3
82,Hamirpur,Urban,100,17.2,0.6,92.3
83,Una,Rural,100,25.3,1.4,58.8
84,Una,Total,100,25.2,1.7,60.3
85,Una,Urban,100,24.4,4.8,74.6
86,Bilaspur,Rural,100,26.9,1.3,68.8
87,Bilaspur,Total,100,26.2,1.3,70.6
88,Bilaspur,Urban,100,16.9,0.8,93.5
89,Solan,Rural,100,24.5,1.9,69.0
90,Solan,Total,100,23.3,1.8,73.4
91,Solan,Urban,100,18.7,1.4,89.8
92,Sirmaur,Rural,100,30.9,2.8,56.9
93,Sirmaur,Total,100,29.4,2.6,62.1
94,Sirmaur,Urban,100,19.7,1.0,96.1
95,Shimla,Rural,100,24.4,2.3,59.8
96,Shimla,Total,100,22.7,2.0,68.3
97,Shimla,Urban,100,18.1,1.3,90.7
98,Kinnaur,Rural,100,29.3,1.0,69.2
99,Kinnaur,Total,100,29.3,1.0,69.2
100,Gurdaspur,Rural,100,49.4,9.0,50.1
101,Gurdaspur,Total,100,47.1,7.9,60.0
102,Gurdaspur,Urban,100,41.1,5.2,85.6
103,Kapurthala,Rural,100,41.4,6.1,77.4
104,Kapurthala,Total,100,38.1,5.4,83.3
105,Kapurthala,Urban,100,32.0,4.1,94.1
106,Jalandhar,Rural,100,46.7,6.2,76.0
107,Jalandhar,Total,100,42.1,5.5,86.5
108,Jalandhar,Urban,100,38.1,4.8,95.8
109,Hoshiarpur,Rural,100,41.0,6.5,57.0
110,Hoshiarpur,Total,100,39.6,6.1,63.9
111,Hoshiarpur,Urban,100,34.3,4.9,88.9
112,Shahid Bhagat Singh Nagar,Rural,100,40.1,5.4,66.8
113,Shahid Bhagat Singh Nagar,Total,100,39.2,5.6,70.5
114,Shahid Bhagat Singh Nagar,Urban,100,36.0,6.5,85.1
115,Fatehgarh Sahib,Rural,100,39.1,6.4,82.5
116,Fatehgarh Sahib,Total,100,37.8,5.8,86.3
117,Fatehgarh Sahib,Urban,100,35.3,4.5,93.9
118,Ludhiana,Rural,100,45.1,7.1,87.5
119,Ludhiana,Total,100,42.5,5.8,93.3
120,Ludhiana,Urban,100,40.9,4.9,96.9
121,Moga,Rural,100,45.2,7.4,85.4
122,Moga,Total,100,42.7,7.3,87.6
123,Moga,Urban,100,34.8,6.7,94.7
124,Firozpur,Rural,100,50.9,10.8,66.6
125,Firozpur,Total,100,48.2,9.7,73.2
126,Firozpur,Urban,100,41.1,7.1,90.7
127,Muktsar,Rural,100,52.8,10.7,72.3
128,Muktsar,Total,100,49.2,10.2,77.3
129,Muktsar,Urban,100,40.3,9.1,89.8
130,Faridkot,Rural,100,49.0,7.7,80.1
131,Faridkot,Total,100,45.9,7.9,84.6
132,Faridkot,Urban,100,40.4,8.1,92.8
133,Bathinda,Rural,100,51.1,7.4,84.3
134,Bathinda,Total,100,44.4,6.7,87.4
135,Bathinda,Urban,100,32.4,5.4,93.1
136,Mansa,Rural,100,46.5,7.2,62.9
137,Mansa,Total,100,43.8,7.0,67.7
138,Mansa,Urban,100,34.1,5.9,85.0
139,Patiala,Rural,100,48.0,7.1,77.3
140,Patiala,Total,100,41.4,5.9,85.6
141,Patiala,Urban,100,32.2,4.2,96.9
142,Amritsar,Rural,100,55.2,7.8,60.8
143,Amritsar,Total,100,48.1,6.5,79.0
144,Amritsar,Urban,100,42.5,5.4,93.4
145,Tarn Taran,Rural,100,55.7,8.1,64.8
146,Tarn Taran,Total,100,54.1,7.9,67.8
147,Tarn Taran,Urban,100,43.6,7.1,87.7
148,Rupnagar,Rural,100,35.6,6.0,56.9
149,Rupnagar,Total,100,33.4,5.8,66.5
150,Rupnagar,Urban,100,27.6,5.0,91.7
151,Sahibzada Ajit Singh Nagar,Rural,100,43.2,7.3,60.7
152,Sahibzada Ajit Singh Nagar,Total,100,31.9,5.2,79.1
153,Sahibzada Ajit Singh Nagar,Urban,100,23.7,3.8,92.4
154,Sangrur,Rural,100,45.7,6.1,78.6
155,Sangrur,Total,100,42.2,5.7,82.8
156,Sangrur,Urban,100,34.4,4.7,92.0
157,Barnala,Rural,100,49.7,6.5,80.2
158,Barnala,Total,100,46.8,6.3,83.5
159,Barnala,Urban,100,41.0,5.9,90.2
160,Chandigarh,Rural,100,46.9,2.8,88.0
161,Chandigarh,Total,100,27.2,3.5,87.6
162,Chandigarh,Urban,100,26.6,3.5,87.6
163,Uttarkashi,Rural,100,27.0,3.0,39.5
164,Uttarkashi,Total,100,26.1,2.9,43.7
165,Uttarkashi,Urban,100,15.9,0.8,91.5
166,Chamoli,Rural,100,26.3,2.5,47.0
167,Chamoli,Total,100,24.1,2.3,53.1
168,Chamoli,Urban,100,11.6,0.9,87.5
169,Rudraprayag,Rural,100,19.8,1.9,51.0
170,Rudraprayag,Total,100,19.4,1.8,52.9
171,Rudraprayag,Urban,100,9.7,0.3,91.6
172,Tehri Garhwal,Rural,100,27.6,2.8,50.1
173,Tehri Garhwal,Total,100,25.5,2.5,55.8
174,Tehri Garhwal,Urban,100,10.6,0.7,95.9
175,Dehradun,Rural,100,26.7,3.9,74.6
176,Dehradun,Total,100,23.1,3.0,86.4
177,Dehradun,Urban,100,20.4,2.4,95.2
178,Garhwal,Rural,100,25.1,1.8,48.3
179,Garhwal,Total,100,23.4,1.7,55.3
180,Garhwal,Urban,100,14.4,1.1,94.7
181,Pithoragarh,Rural,100,25.4,2.3,48.0
182,Pithoragarh,Total,100,23.1,2.1,55.2
183,Pithoragarh,Urban,100,9.9,0.5,96.5
184,Bageshwar,Rural,100,25.1,2.9,53.5
185,Bageshwar,Total,100,24.6,2.9,54.8
186,Bageshwar,Urban,100,9.1,0.9,90.0
187,Almora,Rural,100,24.1,1.7,51.6
188,Almora,Total,100,23.2,1.7,55.3
189,Almora,Urban,100,14.5,1.3,91.9
190,Champawat,Rural,100,40.3,6.0,40.4
191,Champawat,Total,100,38.5,6.0,46.4
192,Champawat,Urban,100,28.1,5.9,79.9
193,Nainital,Rural,100,31.7,5.1,69.4
194,Nainital,Total,100,27.0,4.3,79.5
195,Nainital,Urban,100,19.8,3.0,94.8
196,Udham Singh Nagar,Rural,100,45.9,6.7,56.9
197,Udham Singh Nagar,Total,100,42.6,5.8,69.3
198,Udham Singh Nagar,Urban,100,36.4,4.0,92.0
199,Hardwar,Rural,100,48.3,5.3,50.2
200,Hardwar,Total,100,39.4,4.1,66.6
201,Hardwar,Urban,100,25.3,2.2,92.6
202,Panchkula,Rural,100,35.2,4.9,44.0
203,Panchkula,Total,100,27.5,4.8,70.7
204,Panchkula,Urban,100,22.7,4.7,87.6
205,Ambala,Rural,100,44.2,4.3,51.1
206,Ambala,Total,100,37.0,3.9,68.7
207,Ambala,Urban,100,28.4,3.3,89.3
208,Yamunanagar,Rural,100,47.1,6.4,46.0
209,Yamunanagar,Total,100,41.6,5.4,65.2
210,Yamunanagar,Urban,100,33.9,4.0,91.9
211,Kurukshetra,Rural,100,46.0,4.3,69.1
212,Kurukshetra,Total,100,41.1,4.0,76.0
213,Kurukshetra,Urban,100,29.6,3.5,92.4
214,Kaithal,Rural,100,48.5,4.8,57.7
215,Kaithal,Total,100,45.8,4.6,63.4
216,Kaithal,Urban,100,36.9,4.1,82.7
217,Karnal,Rural,100,47.5,4.9,68.6
218,Karnal,Total,100,41.7,4.2,75.9
219,Karnal,Urban,100,29.3,2.6,91.6
220,Panipat,Rural,100,47.6,4.2,66.7
221,Panipat,Total,100,43.5,3.5,80.2
222,Panipat,Urban,100,39.0,2.9,94.9
223,Sonipat,Rural,100,50.2,4.7,56.2
224,Sonipat,Total,100,45.4,4.3,68.1
225,Sonipat,Urban,100,35.6,3.4,92.2
226,Jind,Rural,100,51.1,5.0,51.3
227,Jind,Total,100,47.0,4.4,59.9
228,Jind,Urban,100,33.9,2.8,87.6
229,Fatehabad,Rural,100,46.4,5.7,72.9
230,Fatehabad,Total,100,43.9,5.5,76.4
231,Fatehabad,Urban,100,33.8,4.9,90.9
232,Sirsa,Rural,100,41.7,5.9,87.5
233,Sirsa,Total,100,39.5,5.4,89.7
234,Sirsa,Urban,100,33.0,4.1,95.9
235,Hisar,Rural,100,46.5,5.5,62.5
236,Hisar,Total,100,41.9,4.8,71.1
237,Hisar,Urban,100,32.2,3.3,89.5
238,Bhiwani,Rural,100,45.9,5.3,49.2
239,Bhiwani,Total,100,45.0,5.1,56.9
240,Bhiwani,Urban,100,41.6,4.4,86.8
241,Rohtak,Rural,100,49.3,4.7,58.4
242,Rohtak,Total,100,42.4,3.9,72.9
243,Rohtak,Urban,100,33.3,2.7,92.1
244,Jhajjar,Rural,100,45.1,4.9,58.5
245,Jhajjar,Total,100,44.0,4.8,67.4
246,Jhajjar,Urban,100,40.9,4.5,91.7
247,Mahendragarh,Rural,100,42.1,3.1,39.0
248,Mahendragarh,Total,100,41.4,3.0,44.3
249,Mahendragarh,Urban,100,37.2,2.8,77.2
250,Rewari,Rural,100,41.7,3.3,49.8
251,Rewari,Total,100,39.0,3.1,59.4
252,Rewari,Urban,100,31.0,2.4,87.8
253,Gurgaon,Rural,100,39.3,3.2,65.6
254,Gurgaon,Total,100,30.7,3.7,84.6
255,Gurgaon,Urban,100,27.4,3.9,91.7
256,Mewat,Rural,100,58.4,9.0,17.8
257,Mewat,Total,100,56.3,8.5,23.4
258,Mewat,Urban,100,41.2,4.8,62.5
259,Faridabad,Rural,100,43.2,4.3,58.6
260,Faridabad,Total,100,39.8,2.8,84.0
261,Faridabad,Urban,100,39.1,2.4,89.2
262,Palwal,Rural,100,51.1,6.3,32.1
263,Palwal,Total,100,47.5,5.6,44.4
264,Palwal,Urban,100,36.2,3.6,82.8
265,North West,Rural,100,46.6,4.5,64.1
266,North West,Total,100,35.0,3.4,84.7
267,North West,Urban,100,34.4,3.3,85.9
268,North,Rural,100,25.3,0.9,98.0
269,North,Total,100,36.9,3.4,90.0
270,North,Urban,100,37.1,3.5,89.9
271,North East,Rural,100,36.4,2.8,95.0
272,North East,Total,100,35.6,2.0,95.1
273,North East,Urban,100,35.6,2.0,95.1
274,East,Rural,100,6.7,1.2,98.1
275,East,Total,100,24.1,1.9,93.4
276,East,Urban,100,24.2,1.9,93.4
277,New Delhi,Total,100,28.8,3.7,77.9
278,New Delhi,Urban,100,28.8,3.7,77.9
279,Central,Total,100,39.3,3.2,90.8
280,Central,Urban,100,39.3,3.2,90.8
281,West,Rural,100,48.3,1.8,87.1
282,West,Total,100,28.9,2.8,89.9
283,West,Urban,100,28.8,2.8,89.9
284,South West,Rural,100,35.5,3.3,87.7
285,South West,Total,100,28.1,2.6,91.0
286,South West,Urban,100,27.7,2.6,91.2
287,South,Rural,100,41.3,4.6,90.6
288,South,Total,100,30.4,2.9,88.0
289,South,Urban,100,30.3,2.9,88.0
290,Ganganagar,Rural,100,42.1,2.5,81.3
291,Ganganagar,Total,100,39.3,2.7,84.7
292,Ganganagar,Urban,100,32.2,3.3,93.6
293,Hanumangarh,Rural,100,36.8,2.4,82.3
