,State/UT,HospitalBeds,Population
0,ANDAMAN AND NICOBAR ISLANDS,1246.0,274984.0
1,ANDHRA PRADESH,60799.0,84580777.0
2,ARUNACHAL PRADESH,2320.0,1383727.0
3,ASSAM,19115.0,31205576.0
4,BIHAR,17796.0,104099452.0
5,CHANDIGARH,3756.0,1055450.0
6,CHHATTISGARH,14354.0,25545198.0
7,DADRA AND NAGAR HAVELI,568.0,343709.0
8,DAMAN AND DIU,298.0,243247.0
9,NCT OF DELHI,20572.0,16787941.0
10,GOA,2666.0,1458545.0
11,GUJARAT,41129.0,60439692.0
12,HARYANA,13841.0,25351462.0
13,HIMACHAL PRADESH,8706.0,6833038.0
14,JAMMU AND KASHMIR,11342.0,12541302.0
15,JHARKHAND,7404.0,32988134.0
16,KARNATAKA,56333.0,59248274.0
17,KERALA,39511.0,33406061.0
18,LAKSHADWEEP,250.0,64473.0
19,MADHYA PRADESH,38140.0,72626809.0
20,MAHARASHTRA,68998.0,112374333.0
21,MANIPUR,2562.0,2855794.0
22,MEGHALAYA,4585.0,2966889.0
23,MIZORAM,2312.0,1097206.0
24,NAGALAND,1944.0,1978502.0
25,ORISSA,16497.0,41974218.0
26,PONDICHERRY,4462.0,297664.0
27,PUNJAB,13527.0,27743338.0
28,RAJASTHAN,51844.0,68548437.0
29,SIKKIM,1145.0,610577.0
30,TAMIL NADU,72616.0,72147030.0
31,TELANGANA,17358.0,35193978.0
32,TRIPURA,4895.0,3673917.0
33,UTTAR PRADESH,58310.0,199812341.0
34,UTTARAKHAND,6660.0,10086292.0
35,WEST BENGAL,51163.0,91276115.0
36,National,739024.0,1243114482.0
