,State/UT,Rural_Government_Hospitals,Rural_Government_Beds,Urban_Government_Hospitals,Urban_Government_Beds,Last_Updated
0,ANDHRA PRADESH,193,6480,65,16658,2017-01-01
1,ARUNACHAL PRADESH*,208,2136,10,268,2017-12-31
2,ASSAM,1176,10944,50,6198,2017-12-31
3,BIHAR,930,6083,103,5936,2016-12-31
4,CHHATTISGARH,169,5070,45,4342,2016-01-01
5,GOA*,17,1405,25,1608,2017-12-31
6,GUJARAT,364,11715,122,20565,2016-12-31
7,HARYANA*,609,6690,59,4550,2016-12-31
8,HIMACHAL PRADESH*,705,5665,96,6734,2017-12-31
9,JAMMU AND KASHMIR,56,7234,76,4417,2016-12-30
10,JHARKHAND,519,5842,36,4942,2015-12-31
11,KARNATAKA*,2471,21072,374,49093,2017-12-31
12,KERALA,981,16865,299,21139,2017-01-01
13,MADHYA PRADESH,334,10020,117,18819,2016-01-01
14,MAHARASHTRA,273,12398,438,39048,2015-12-31
15,MANIPUR,23,730,7,697,2014-01-01
16,MEGHALAYA*,143,1970,14,2487,2017-12-31
17,MIZORAM*,56,604,34,1393,2017-12-31
18,NAGALAND,21,630,15,1250,2015-12-31
19,ORISSA*,1655,6339,149,12180,2017-12-31
20,PUNJAB*,510,5805,172,12128,2017-12-31
21,RAJASTHAN,602,21088,150,10760,2016-12-31
22,SIKKIM*,24,260,9,1300,2017-12-31
23,TAMIL NADU*,692,40179,525,37353,2017-12-31
24,TELANGANA*,802,7668,61,13315,2017-12-31
25,TRIPURA*,99,1140,56,3277,2017-12-31
26,UTTAR PRADESH*,4442,39104,193,37156,2017-12-31
27,UTTARAKHAND,410,3284,50,5228,2015-12-31
28,WEST BENGAL,1272,19684,294,58882,2015-01-01
29,ANDAMAN AND NICOBAR ISLANDS,27,575,3,500,2016-12-31
30,CHANDIGARH,0,0,4,778,2016-12-31
31,DADRA AND NAGAR HAVELI*,10,273,1,316,2017-12-31
32,DAMAN AND DIU,5,240,0,0,2015-12-31
33,NCT OF DELHI,0,0,109,24383,2015-01-01
34,LAKSHADWEEP,9,300,0,0,2016-01-01
35,PONDICHERRY,3,96,11,3473,2016-01-01
