State/UT,Rural_Government_Hospitals,Rural_Government_Beds,Urban_Government_Hospitals,Urban_Government_Beds,Last_Updated,Total_Beds,Total_Hospitals,Population
ANDHRA PRADESH,193,6480,65,16658,2017-01-01,83937,258,84580777
ARUNACHAL PRADESH*,208,2136,10,268,2017-12-31,4724,218,1383727
ASSAM,1176,10944,50,6198,2017-12-31,36257,1226,31205576
BIHAR,930,6083,103,5936,2016-12-31,29815,1033,104099452
CHHATTISGARH,169,5070,45,4342,2016-01-01,23766,214,25545198
GOA*,17,1405,25,1608,2017-12-31,5679,42,1458545
GUJARAT,364,11715,122,20565,2016-12-31,73409,486,60439692
HARYANA*,609,6690,59,4550,2016-12-31,25081,668,25351462
HIMACHAL PRADESH*,705,5665,96,6734,2017-12-31,21105,801,6864602
JAMMU AND KASHMIR,56,7234,76,4417,2016-12-30,22993,132,12541302
JHARKHAND,519,5842,36,4942,2015-12-31,18188,555,32988134
KARNATAKA*,2471,21072,374,49093,2017-12-31,126498,2845,59248274
KERALA,981,16865,299,21139,2017-01-01,77515,1280,33406061
MADHYA PRADESH,334,10020,117,18819,2016-01-01,66979,451,72626809
MAHARASHTRA,273,12398,438,39048,2015-12-31,120444,711,112374333
MANIPUR,23,730,7,697,2014-01-01,3989,30,2855794
MEGHALAYA*,143,1970,14,2487,2017-12-31,9042,157,2966889
MIZORAM*,56,604,34,1393,2017-12-31,4309,90,1097206
NAGALAND,21,630,15,1250,2015-12-31,3824,36,1978502
ORISSA*,1655,6339,149,12180,2017-12-31,35016,1804,41974218
PUNJAB*,510,5805,172,12128,2017-12-31,31460,682,27743338
RAJASTHAN,602,21088,150,10760,2016-12-31,83692,752,68548437
SIKKIM*,24,260,9,1300,2017-12-31,2705,33,610577
TAMIL NADU*,692,40179,525,37353,2017-12-31,150148,1217,72147030
TELANGANA*,802,7668,61,13315,2017-12-31,38341,863,35193978
TRIPURA*,99,1140,56,3277,2017-12-31,9312,155,3673917
UTTAR PRADESH*,4442,39104,193,37156,2017-12-31,134570,4635,199812341
UTTARAKHAND,410,3284,50,5228,2015-12-31,15172,460,10086292
WEST BENGAL,1272,19684,294,58882,2015-01-01,129729,1566,91276115
ANDAMAN AND NICOBAR ISLANDS,27,575,3,500,2016-12-31,2321,30,380581
CHANDIGARH,0,0,4,778,2016-12-31,4534,4,1055450
DADRA AND NAGAR HAVELI*,10,273,1,316,2017-12-31,1157,11,343709
DAMAN AND DIU,5,240,0,0,2015-12-31,538,5,243247
NCT OF DELHI,0,0,109,24383,2015-01-01,44955,109,16787941
LAKSHADWEEP,9,300,0,0,2016-01-01,550,9,64473
PONDICHERRY,3,96,11,3473,2016-01-01,8031,14,1247953
