,State/UT,District,Population,Male,Female,Literate,Literate_Male,Literate_Female,Households_Rural,Urban_Households,Households,Young_and_Adult,Middle_Aged,Senior_Citizen,Age_Not_Stated
0,JAMMU AND KASHMIR,Kupwara,870354,474190,396164,439654,282823,156831,158438,,181664,600759,178435,89679,1481
1,JAMMU AND KASHMIR,Badgam,753745,,355704,335649,207741,127908,160649,27190,187839,503223,160933,88978,611
2,JAMMU AND KASHMIR,Leh(Ladakh),133487,78971,54516,93770,62834,30936,36920,17474,54394,70703,41515,,250
3,JAMMU AND KASHMIR,Kargil,140802,,63017,,56301,29935,40370,7774,48144,87532,35561,17488,221
4,JAMMU AND KASHMIR,Punch,,251899,224936,261724,163333,98391,132139,15269,147408,304979,109818,61334,704
5,JAMMU AND KASHMIR,Rajouri,642415,345351,297064,364109,224469,139640,196070,17508,213578,404903,153165,83319,1028
6,JAMMU AND KASHMIR,Kathua,616435,326109,290326,389204,228499,160705,181374,33473,214847,357864,160123,97684,764
7,JAMMU AND KASHMIR,Baramula,1008039,534733,473306,,337170,207979,210543,48932,259475,636524,239659,130513,1343
8,JAMMU AND KASHMIR,Bandipore,392232,207680,184552,185979,117058,68921,80521,17555,98076,252378,,48802,587
9,JAMMU AND KASHMIR,Srinagar,1236829,651124,585705,748584,431746,316838,4518,257721,262239,693238,351561,190330,
10,JAMMU AND KASHMIR,Ganderbal,297446,158720,138726,143276,,52695,63788,13558,77346,194165,66945,35911,425
11,JAMMU AND KASHMIR,Pulwama,560440,293064,267376,293958,178326,115632,147520,21703,169223,342601,,,696
12,JAMMU AND KASHMIR,Shupiyan,266215,136480,129735,136500,80355,56145,75616,5272,80888,170086,60752,35158,219
13,JAMMU AND KASHMIR,Anantnag,1078692,559767,518925,,324417,221115,207067,70666,277733,704145,239988,133519,1040
14,JAMMU AND KASHMIR,Kulgam,424483,,206863,209085,125052,84033,95952,25178,121130,266858,99870,57253,502
15,JAMMU AND KASHMIR,Doda,409936,213641,196295,219083,138620,80463,122267,11350,,263576,93189,52744,427
16,JAMMU AND KASHMIR,Ramban,283713,,134581,124065,82938,41127,84281,,89622,188526,61604,,363
17,JAMMU AND KASHMIR,Kishtwar,230696,120165,,,68700,38806,72378,5993,78371,,53415,31084,266
18,JAMMU AND KASHMIR,Udhampur,554985,296784,258201,322354,197543,124811,148664,34696,183360,339145,140785,74757,298
19,JAMMU AND KASHMIR,Reasi,314667,166461,148206,150542,93937,56605,95572,12261,107833,,70767,39743,190
20,JAMMU AND KASHMIR,Jammu,1529958,813821,716137,1137135,641916,495219,254566,248043,502609,816827,435895,275585,1651
21,JAMMU AND KASHMIR,Samba,318898,169124,149774,228139,130312,97827,94247,19989,114236,177277,88246,53022,353
22,HIMACHAL PRADESH,Chamba,519080,261320,257760,323842,186064,137778,186395,13836,200231,306555,130606,81566,353
23,HIMACHAL PRADESH,Kangra,1510075,750591,759484,1152640,606443,546197,588321,39007,627328,766581,419172,319420,4902
24,HIMACHAL PRADESH,Lahul AND Spiti,31564,16588,14976,21845,12897,8948,17434,0,17434,15928,,6200,255
25,HIMACHAL PRADESH,Kullu,437903,225452,212451,307672,174550,133122,167995,20709,188704,244727,120510,72282,384
26,HIMACHAL PRADESH,Mandi,999777,498065,501712,723747,393669,330078,431129,31696,462825,524285,279321,194661,1510
