,State,Toilet,Total Household,Urban,Rural,Population
0,MADHYA PRADESH,4256431.0,18498764.0,5088308.0,13410456.0,72626809.0
1,SIKKIM,111734.0,169022.0,53627.0,115395.0,610577.0
2,TAMIL NADU,8930581.0,23166721.0,11229457.0,11937264.0,72147030.0
3,UTTARAKHAND,1289277.0,3383410.0,870841.0,2512569.0,10086292.0
4,NAGALAND,306068.0,534424.0,174039.0,360385.0,1978502.0
5,TRIPURA,725092.0,1066863.0,318177.0,748686.0,3673917.0
6,UTTAR PRADESH,10675853.0,45172443.0,10446228.0,34726215.0,199812341.0
7,ASSAM,4034999.0,9074503.0,1485505.0,7588998.0,31205576.0
8,PONDICHERRY,206221.0,387999.0,265085.0,122914.0,1247953.0
9,DAMAN AND DIU,47233.0,89929.0,70135.0,19794.0,243247.0
10,LAKSHADWEEP,10467.0,21242.0,15953.0,5289.0,64473.0
11,KERALA,7345977.0,11217853.0,5360068.0,5857785.0,33406061.0
12,ARUNACHAL PRADESH,150381.0,369654.0,99108.0,270546.0,1383727.0
13,ORISSA,1902175.0,12759133.0,2204158.0,10554975.0,41974218.0
14,RAJASTHAN,4399688.0,17591526.0,4774309.0,12817217.0,68548437.0
15,HIMACHAL PRADESH,1020523.0,2933663.0,321052.0,2612611.0,6864602.0
16,MAHARASHTRA,12482270.0,33569762.0,16050569.0,17519193.0,112374333.0
17,ANDHRA PRADESH,8893658.0,24687026.0,8420919.0,16266107.0,84580777.0
18,GOA,257338.0,576582.0,372103.0,204479.0,1458545.0
19,ANDAMAN AND NICOBAR ISLANDS,65450.0,141675.0,51725.0,89950.0,380581.0
20,MIZORAM,203185.0,269431.0,146084.0,123347.0,1097206.0
21,JHARKHAND,1319105.0,7796034.0,2104891.0,5691143.0,32988134.0
22,HARYANA,3237942.0,7088008.0,2643643.0,4444365.0,25351462.0
23,NCT OF DELHI,2990741.0,4605555.0,4481133.0,124422.0,16787941.0
24,CHHATTISGARH,1365235.0,6068423.0,1635610.0,4432813.0,25545198.0
25,MANIPUR,452865.0,609964.0,212127.0,397837.0,2855794.0
26,CHANDIGARH,206017.0,298367.0,289456.0,8911.0,1055450.0
27,DADRA AND NAGAR HAVELI,39999.0,108783.0,60562.0,48221.0,343709.0
28,WEST BENGAL,11543128.0,25343715.0,8390356.0,16953359.0,91276115.0
29,JAMMU AND KASHMIR,1031297.0,3603632.0,940172.0,2663460.0,12541302.0
30,BIHAR,4055230.0,23414674.0,2701332.0,20713342.0,104099452.0
31,MEGHALAYA,308354.0,721467.0,167874.0,553593.0,2966889.0
32,GUJARAT,6985686.0,17524030.0,8230790.0,9293240.0,60439692.0
33,KARNATAKA,6678942.0,17999066.0,7378379.0,10620687.0,59248274.0
34,PUNJAB,4289132.0,7847447.0,3178690.0,4668757.0,27743338.0
